CLAVE,NOMBRE,DESCRIPCION
060-550-2608-01,"JERINGA DE PLÁSTICO GRADO MEDICO, DE 5 ML DE CAPACIDAD","ESCALA GRADUADA EN ML, CON DIVISIONES DE 1.0 ML, Y SUBDIVISIONES DE 0.2 Y AGUJA DE 20 G Y 38 MM DE LONGITUD, ESTÉRIL Y DESECHABLE. CAJAN CON 100 PIEZAS"
060-550-0016-11,"JERINGA. DE PLÁSTICO.CON PIVOTE TIPO LUER LOCK, CAPACIDAD 10 ML","ESCALA GRADUADA EN ML, DIVISIONES DE PIEZAS 1.0 Y SUBDIVISIONES DE 0.2.CON AGUJA DE:LONGITUD: 38MM CALIBRE: 20 G. CAJA CON 100"
060-550-0453-11,"JERINGA DE PLÁSTICO, SIN AGUJA CON PIVOTE TIPO LUER LOCK, CAPACIDAD: 20 ML",ESCALA GRADUADA EN ML DIVISIONES DE 5.0 Y SUBDIVISIONES DE 1.0. ENVASE CON 50 PIEZAS.
060-999-0309-00,JERINGA DESECHABLE DE 60 ML,PIEZA
060-550-2186-01,JERINGAS PARA INSULINA. CON CAPACIDAD DE 1 ML,CAJA CON 200 PIEZAS
060-001-0043-00,LAPIZ PARA CAUTERIO MONOPOLAR CON CABLE Y ENTRADA DE TRES PUNTAS,
060-598-0010-11,LLAVE DE 4 VÍAS CON MARCAS INDICADORAS DEL SENTIDO EN EL QUE FLUYEN LAS SOLUCIONES Y POSICIÓN DE CERRADO,"ADITAMENTO DE CIERRE LUER LOCK (MÓVIL) EN EL RAMAL DE LA LLAVE, QUE SE CONECTA AL TUBO DE LA EXTENSIÓN. TUBO DE EXTENSIÓN REMOVIBLE DE PLÁSTICO GRADO MÉDICO, LONGITUD 80 CM Y DIÁMETRO INTERNO 2.7 MM MÍNIMO, CONECTOR LUER LOCK HEMBRA EN EL EXTREMO DEL TUBO QUE SE CONECTA CON LA LLAVE Y CONECTOR LUER MACHO EN EL EXTREMO PROXIMAL, CON ADITAMENTO DE CIERRE LUER LOCK (MÓVIL). PIEZA"
060-598-0226-99,"LLAVE DE TRES O CUATRO VÍAS SIN EXTENSIÓN, DE PLÁSTICO.",ESTÉRIL Y DESECHABLE. PIEZA.
060-603-0009-99,MALLA DE POLIPROPILENO 30 X 30 CMS PARA HERNIA ,
060-603-0012-99,"MALLA PROTESICA PARA HERNIA DE BAJA DENSIDAD, PARCIALMENTE ABSORBIBLE  CON DIMENSIONES DE 15X10 CM. ",
060-603-0016-99,"MALLA PROTESICA PARA HERNIA VENTRAL, MEDIDAS DE 20 X 25 CM. ","Y FORMA OVAL O RECTANGULAR, PIEZA JOHNSON & JOHNSON"
060-999-0178-00,MASCARILLA  PARA OXÍGENO ADULTO,
060-621-0078-99,MASCARILLA PARA ANESTESIA 0 UNIDAD,
060-621-0177-99,MASCARILLA PARA ANESTESIA 00 UNIDAD ,
060-621-0185-99,MASCARILLA PARA ANESTESIA 1  UNIDAD ,
060-621-0094-99,MASCARILLA PARA ANESTESIA 2 UNIDAD ,
060-621-0193-00,MASCARILLA PARA ANESTESIA 3  UNIDAD ,
060-621-0169-00,MASCARILLA PARA ANESTESIA 4 UNIDAD ,
060-621-0530-99,MASCARILLA Y MICRONEBULIZADOR DE AEROSOLES CON TUBO DE EXTENCION ADULTO,
060-621-0038-99,MASCARILLA PARA OXIGENO CON RESERVORIO ADULTO,
060-621-0039-99,MASCARILLA PARA OXIGENO CON RESERVORIO PEDIATRICA,
060-621-0527-99,MASCARILLA Y MICRONEBULIZADOR DE AEROSOLES CON TUBO DE EXTENCION PEDIATRICA.,
060-999-0427-00,MASCARILLO LARÍNGEA VÍA ÁREA NO. 1,
060-999-0428-00,MASCARILLO LARÍNGEA VÍA ÁREA NO. 1.5,
060-999-0429-00,MASCARILLO LARÍNGEA VÍA ÁREA NO. 2.0,
060-999-0430-00,MASCARILLO LARÍNGEA VÍA ÁREA NO. 2.5,
060-999-0431-00,MASCARILLO LARÍNGEA VÍA ÁREA NO. 3,
060-999-0440-00,MASCARILLO LARÍNGEA VÍA ÁREA NO. 4,
070-581-0117-00,MEDIOS DE CONTRASTE HIDROSOLUBLES NO IONICOS DE 300MG/ML FRASCO 100ML,"LOVERSOL, LOPAMIDOL, LOHEXOL, LOPROMIDA, LOBITRIDOL, LODIXANOL FRASCO CON 100 ML"
070-581-0109-00,MEDIOS DE CONTRASTE HIDROSOLUBLES NO IONICOS DE 300MG/ML FRASCO 50ML,"LOVERSOL, LOPAMIDOL, LOHEXOL, LOPROMIDA, LOBITRIDOL, LODIXANOL FRASCO CON 50 ML"
060-701-0378-11,PERILLA PARA ASPIRACIÓN DE SERCRECIONES. DE HULE. NO. 4,
060-701-0360-00,PERILLA. PARA ASPIRACIÓN DE SECRECIONES. DE HULE. NO. 2.,
060-001-0084-99,PLACAS PARA ELECTROCAUTERIO DESECHABLES C/CABLE,
060-598-0009-00,PROLONGADOR OCTOPUS 2 O 3 VIAS C/EXTENCION,
060-740-0025-11,"PROTECTOR DE PIEL, TINTURA DE BEJUI ",ENVASE CON 1000 ML.
060-999-0300-00,PROTECTOR DE PUNTAS NASALES NEONATALES,CAJA CON 25 PIEZAS
060-621-0523-99,PUNTAS NASALES NEONATALES DESECHABLES ,
060-182-0004-00,PAPEL PARA ULTRASONIDO UPP 110 HG,
060-231-0591-00,PAQUETE PARA CIRUGIA GENERAL UNIVERSAL. ESTERIL DESECHABLE,
060-231-0583-00,PAQUETE PARA CESAREA Y CIRUGIA GENERAL. ESTERIL DESECHABLE,
060-345-3118-99,SISTEMA CERRADO 6FR PZA.,
060-805-0646-00,SISTEMA CERRADO 8FR PZA,
060-999-0042-00,SISTEMA DE SUCCION CERRADO CON C/TUBO ENDOTRAQUEAL 5 FR.,
060-345-3143-00,"SISTEMA DE SUCCIÓN CERRADO, CON TUBO ENDOTRAQUEAL CONECTADO A VENTILADOR, 16 FR.",
060-345-3168-00,"SISTEMA DE SUCCIÓN, CERRADO, CON TRAQUEOSTOMÍA, CONECTADO A VENTILADOR, 18 FR.",
060-345-3135-00,"SISTEMA DE SUCCIÓN, CERRADO, CON TUBO ENDOTRAQUEAL CONECTADO A VENTILADOR, 14 FR.",
060-345-3119-00,"SISTEMA DE SUCCIÓN, CERRADO, CON TUBO ENDOTRAQUEAL CONECTADO A VENTILADOR, 10 FR.",
060-345-3127-00,"SISTEMA DE SUCCIÓN, CERRADO, CON TUBO ENDOTRAQUEAL CONECTADO A VENTILADOR, 12 FR. ",
060-168-9381-00,CPAP TAMAÑO 4 - SISTEMA PARA ADMINISTRACIÓN DE PRESIÓN POSITIVA CONTINUA POR VÍA NASAL. ,
060-999-0136-00,CPAP TAMAÑO 0 - SISTEMA PARA ADMINISTRACIÓN DE PRESIÓN POSITIVA CONTINUA POR VÍA NASAL. ,
060-999-0209-00,CPAP TAMAÑO 1 - SISTEMA PARA ADMINISTRACIÓN DE PRESIÓN POSITIVA CONTINUA POR VÍA NASAL. ,
060-820-0382-00,CPAP TAMAÑO 3 - SISTEMA PARA ADMINISTRACIÓN DE PRESIÓN POSITIVA CONTINUA POR VÍA NASAL. ,
060-820-0374-00,CPAP TAMAÑO 2 - SISTEMA PARA ADMINISTRACIÓN DE PRESIÓN POSITIVA CONTINUA POR VÍA NASAL. ,
060-066-1011-02,"SOLUCIÓN ANTISÉPTICA CON GLUCONATO DE CLORHEXIDINA DE 0.5  AL 1%, ALCOHOL ETÍLICO O ISOPROPÍLICO ENTRE 60-80%, Y AGENTES EMOLIENTES.","COMO COMPLEMENTO PARA EL LAVADO QUIRÚRGICO Y MÉDICO; NO REQUIERE DE ENJUAGE, CEPILLADO, NI SECADO. CON DISPENSADOR REUSABLE QUE EVITA EL CONTACTO CON LA PIEL UNA VEZ RECIBIDO EL ANTISÉPTICO Y PROPORCIONADO POR EL FABRICANTE CUANDO SE DETERIORE. ENVASE CON 500 ML. "
060-168-9896-11,SONDA GASTROINTESTINAL DESECHABLE Y CON MARCA RADIOPACA. TIPO LEVIN. CALIBRE: 14 FR,
060-168-9904-11,SONDA GASTROINTESTINAL DESECHABLE Y CON MARCA RADIOPACA. TIPO LEVIN. CALIBRE: 16 FR,
060-168-4277-11,SONDA GASTROINTESTINAL DESECHABLE Y CON MARCA RADIOPACA. TIPO: LEVIN. CALIBRE: 12 FR,
060-168-4418-11,SONDA GASTROINTESTINAL DESECHABLE Y CON MARCA RADIOPACA. TIPO: LEVIN. CALIBRE: 18 FR,
060-168-1310-99,"SONDA LEVIN NO. 10 FR. GASTROINTESTINAL D.E. 3.3 MM LONG. 127 ACOTADA A LOS 46,56,66 Y 76 CM",
060-167-8121-11,SONDA PARA DRENAJE URINARIO . TIPO: FOLEY DE DOS VIAS. CALIBRE: 14 FR,
060-167-8139-11,SONDA PARA DRENAJE URINARIO TIPO: FOLEY DE DOS VIAS. CALIBRE: 16 FR,
060-168-9771-11,"SONDA PARA DRENAJE URINARIO, TIPO: FOLEY DE DOS VÍAS. CALIBRE: 20 FR",
060-168-9789-11,SONDA PARA DRENAJE URINARIO TIPO: FOLEY DE DOS VÍAS. CALIBRE: 22 FR,"DE LÁTEX, CON GLOBO DE AUTORRETENCIÓN DE 30 ML CON VÁLVULA PARA JERINGA. ESTÉRIL Y DESECHABLE"
060-168-9482-12,SONDA PARA DRENAJE URINARIO CALIBRE: 10 FR,"DE LÁTEX, CON GLOBO DE AUTORRETENCIÓN DE 3 ML CON VÁLVULA PARA JERINGA. TIPO: FOLEY DE DOS VÍAS."
060-168-9615-11,SONDA PARA DRENAJE URINARIO. TIPO: FOLEY DE DOS VÍAS. CALIBRE: 12 FR,"DE LÁTEX, CON GLOBO DE AUTORRETENCIÓN DE 5 ML CON VÁLVULA PARA JERINGA. ESTÉRIL Y DESECHABLE. "
060-168-9649-11,SONDA PARA DRENAJE URINARIO. TIPO: FOLEY DE DOS VÍAS. CALIBRE: 18 FR,"DE LÁTEX, CON GLOBO DE AUTORRETENCIÓN DE 5 ML CON VÁLVULA PARA JERINGA. TIPO: FOLEY DE DOS VÍAS."
060-168-9656-11,SONDA PARA DRENAJE URINARIO. TIPO: FOLEY DE DOS VÍAS. CALIBRE: 20 FR,"DE LÁTEX, CON GLOBO DE AUTORRETENCIÓN DE 5 ML CON VÁLVULA PARA JERINGA. "
060-168-9664-11,SONDA PARA DRENAJE URINARIO. TIPO: FOLEY DE DOS VÍAS. CALIBRE: 22 FR,"DE LÁTEX, CON GLOBO DE AUTORRETENCIÓN DE 5 ML CON VÁLVULA PARA JERINGA."
060-168-9672-11,SONDA PARA DRENAJE URINARIO. TIPO: FOLEY DE DOS VÍAS. CALIBRE: 24 FR,"DE LÁTEX, CON GLOBO DE AUTORRETENCIÓN DE 5 ML CON VÁLVULA PARA JERINGA. ESTÉRIL Y DESECHABLE."
060-168-8302-11,SONDA PARA DRENAJE URINARIO TIPO: NELATON. LONGITUD: 40 CM. CALIBRE: 20 FR,"DE LÁTEX, PUNTA REDONDA."
060-168-6652-11,SONDA PARA DRENAJE URINARIO TIPO: NELATON. LONGITUD: 40 CM. CALIBRE: 16 FR," DE LÁTEX, PUNTA REDONDA."
060-168-6678-12,SONDA PARA DRENAJE URINARIO TIPO: NELATON. LONGITUD: 40 CM. CALIBRE: 18 FR," DE LÁTEX, PUNTA REDONDA."
060-167-4930-11,"SONDAS DE LATEX, TIPO NELATON. LONGITUD. 40 CM CALIBRE 28 FR"," DE LÁTEX, PUNTA REDONDA."
060-167-4948-11 ,"SONDAS DE LATEX,TIPO NELATON. LONGITUD. 40 CM CALIBRE 30 FR"," DE LÁTEX, PUNTA REDONDA."
060-167-4922-11,"SONDAS DE LATEX,TIPO NELATON.LONGITUD. 40 CM CALIBRE 26 FR"," DE LÁTEX, PUNTA REDONDA."
060-167-8089-12,SONDAS PARA ALIMENTACION TAMAÑO. INFANTIL LONGITUD. 38.5 CM CALIBRE. 8 FR,"DE PLASTICO TRANSPARENTE,"
060-168-9243-11,SONDAS PARA ALIMENTACION TAMAÑO. PREMATURO CALIBRE. 5 FR,". DE PLASTICO TRANSPARENTE,"
060-168-0077-11,SONDAS PARA ASPIRAR SECRECIONES. TAMAÑO. ADULTO LONGITUD. 55 CM CALIBRE. 18 FR,"DE PLASTICO, ECON VALVULA DE CONTROL. ESTERIL Y DESECHABLE. "
060-168-0085-11,SONDAS PARA ASPIRAR SECRECIONES TAMAÑO. INFANTIL LONGITUD. 55 CM CALIBRE. 10 FR ,"DE PLASTICO, ECON VALVULA DE CONTROL. ESTERIL Y DESECHABLE."
060-168-5388-99,SUJETADOR DE TUBO ENDOTRAQUEAL 711 MICRO PIEZA,
060-999-0239-00,SUJETADOR DE TUBO ENDOTRAQUEAL ADULTO PIEZA,
060-168-5386-99 ,SUJETADOR PARA TUBO ENDOTRAQUEAL 709 MINI PIEZA,
060-168-5387-12,SUJETADOR PARA TUBO ENDOTRAQUEAL 710 PIEZA,
060-168-5389-12,SUJETADOR PARA TUBO ENDOTRAQUEAL 712 PIEZA,
060-841-4264-00,SUTURA CATGUT CRÓMICO CON AGUJA CALIBRE DE LA SUTURA 3-0 ,"ENVASE CON 12 PIEZAS. LONGITUD DE LA HEBRA 68-75 CM, CARACTERISTICAS DE LA AGUJA 1/2 CIRCULO AHUSADA (25-27 MM)"
060-841-0585-12,SUTURA CATGUT CRÓMICO CON AGUJA CALIBRE DE LA SUTURA: 4-0,"ENVASE CON 12 PIEZAS.  LONGITUD DE LA HEBRA: 30 CM, CARACTERÍSTICAS DE LA AGUJA: 1/2 CÍRCULO, DOBLE ARMADO, REVERSO CORTANTE (12-13 MM). "
060-841-2623-13,SUTURA CATGUT CRÓMICO CON AGUJA CALIBRE DE LA SUTURA: 0 ,"ENVASE CON 12 PIEZAS  LONGITUD DE LA HEBRA: 68 A 75 CM, CARACTERÍSTICAS DE LA AGUJA: 1/2 CÍRCULO, AHUSADA (35-37 MM)"
060-841-0569-12,SUTURA CATGUT CRÓMICO CON AGUJA CALIBRE DE LA SUTURA: 1,"ENVASE CON 12 PIEZAS  LONGITUD DE LA HEBRA: 68 A 75 CM, CARACTERÍSTICAS DE LA AGUJA: 1/2 CÍRCULO, AHUSADA (35-37 MM)"
060-841-0486-11,SUTURA SINTÉTICA NO ABSORBIBLE. MONOFILAMENTO DE NYLON;CON AGUJA CALIBRE DE LA SUTURA 2-0,"ENVASE CON 12 PIEZAS.  LONGITUD DE LA HEBRA: 45 CM, CARACTERÍSTICAS DE LA AGUJA. 3/8 CIRCULO; CORTANTE(19-26 MM) "
060-841-0478-12,SUTURA SINTÉTICA NO ABSORBIBLE. MONOFILAMENTO DE NYLON CON AGUJA. CALIBRE DE LA SUTURA 3-0,"ENVASE CON 12 PIEZAS.  LONGITUD DE LA HEBRA: 45 CM,CARACTERÍSTICAS DE LA AGUJA. 3/8 CIRCULO; CORTANTE(19-26 MM.)"
060-841-0460-12,SUTURA SINTÉTICA NO ABSORBIBLE. MONOFILAMENTO DE NYLON;CON AGUJA CALIBRE DE LA SUTURA 4-0,"ENVASE CON 12 PIEZAS  LONGITUD DE LA HEBRA: 67 A 70 CM, CARACTERÍSTICAS DE LA AGUJA. 3/8 DE CIRCULO REVERSO CORTANTE (12-13 MM)"
060-841-0916-00,"SUTURA POLÍMERO DE ÁCIDO GLICÓLICO (VICRYL), TRENZADO, CON AGUJA CALIBRE DE LA SUTURA: 2-0 ","CARACTERÍSTICAS DE LA AGUJA: 1/2 CÍRCULO, AHUSADA (35-37 MM)"
060-841-0767-13,SUTURA SEDA NEGRA TRENZADA SIN AGUJA CALIBRE DE LA SUTURA: 0. SOBRE CON 7-12 HEBRAS,ENVASE CON 12 PIEZAS.  LONGITUD DE LA HEBRA: 75 CM
060-841-0775-12,SUTURA SEDA NEGRA TRENZADA SIN AGUJA CALIBRE DE LA SUTURA: 1. SOBRE CON 7-12 HEBRAS,ENVASE CON 12 PIEZAS.  LONGITUD DE LA HEBRA: 75 CM
060-841-0742-12,SUTURA SEDA NEGRA TRENZADA SIN AGUJA CALIBRE DE LA SUTURA: 2-0. SOBRE CON 7-12 HEBRAS,ENVASE CON 12 PIEZAS.  LONGITUD DE LA HEBRA: 75 CM
060-841-0734-12,SUTURA SEDA NEGRA TRENZADA SIN AGUJA CALIBRE DE LA SUTURA: 3-0. SOBRE CON 7-12 HEBRAS,ENVASE CON 12 PIEZAS.  LONGITUD DE LA HEBRA: 75 CM
060-841-0627-11,"SUTURA SEDA NEGRA TRENZADA, CON AGUJA CALIBRE DE LA SUTURA: 2-0 ","ENVASE CON 12 PIEZAS.  LONGITUD DE LA HEBRA: 75 CM,CARACTERÍSTICAS DE LA AGUJA: 1/2 CÍRCULO AHUSADA (25-26MM)"
060-841-0619-12,"SUTURA SEDA NEGRA TRENZADA, CON AGUJA CALIBRE DE LA SUTURA: 3-0","ENVASE CON 12 PIEZAS.  LONGITUD DE LA HEBRA: 75 CM,CARACTERÍSTICAS DE LA AGUJA: 1/2 CÍRCULO AHUSADA (25-26MM)"
060-167-5464-99,TUBO ENDOTRAQUEAL  C/G 26 FR. 6.5 MM ,
060-869-0103-11,TELA ADHESIVA. DE ACETATO CON ADHESIVO EN UNA DE SUS CARAS.LONGITUD: 10 M ANCHO: 1.25 CM,PRESENTACIÓN: CAJA CON 24 PIEZAS
060-869-0152-12,TELA ADHESIVA. DE ACETATO CON ADHESIVO EN UNA DE SUS CARAS.LONGITUD: 10 M ANCHO: 2.50 CM,PRESENTACIÓN: CAJA CON 12 PIEZAS
060-869-0202-11,TELA ADHESIVA. DE ACETATO CON ADHESIVO EN UNA DE SUS CARAS.LONGITUD: 10 M ANCHO: 5 CM,PRESENTACIÓN: CAJA CON 6 PIEZAS
060-879-0136-00,TERMOMETRO DIGITAL,
080-889-2533-01,TIRAS PARA GLUCOMETRO ,CAJA CON 50 PIEZAS
080-889-0099-12,TIRAS REACTIVAS PARA ORINA PARA DETERMINAR 10 PARÁMETROS,CAJA CON 100 PIEZAS
060-999-8188-00,TUBO ENDOTRAQUEAL CON ALMA DE ACERO 30 FR 7.5 MM CON GLOBO.,
060-999-1422-00,TUBO ENDOTRAQUEAL CON ALMA DE ACERO 32FR 8.0MM C/GLOBO,
060-167-1604-99,"TUBO ENDOTRAQUEAL CON ALMA DE ACERO, CURVADO, CON GLOBO, 38 FR, 9.5 MM, TIPO MURPHY",
060-168-1354-99,TUBO ENDOTRAQUEAL TIPO MURPHY 4.5MM 18 FR CON GLOBO,
060-168-1356-11,TUBO ENDOTRAQUEAL TIPO MURPHY CON GLOBO  CAL. 20 FR. DIAMETRO INTERNO 5.0 MM,
060-168-2214-11,TUBO ENDOTRAQUEAL TIPO MURPHY CON GLOBO  CAL.22FR DIAMETRO INTERNO 5.5 MM,
060-168-5340-11,"TUBO ENDOTRAQUEAL, SIN GLOBO. CALIBRE: 14 FR. 3.5 MM","DE ELASTÓMERO DE SILICÓN TRANSPARENTE, GRADUADOS, CON MARCA RADIOPACA, ESTÉRILES Y DESECHABLES."
060-168-5365-11,"TUBO ENDOTRAQUEAL, SIN GLOBO. CALIBRE: 16 FR. 4.0 MM","DE ELASTÓMERO DE SILICÓN TRANSPARENTE, GRADUADOS, CON MARCA RADIOPACA, ESTÉRILES Y DESECHABLES."
060-168-5381-11,"TUBO ENDOTRAQUEAL, SIN GLOBO. CALIBRE: 18 FR","DE ELASTÓMERO DE SILICÓN TRANSPARENTE, GRADUADOS, CON MARCA RADIOPACA, ESTÉRILES Y DESECHABLES."
060-168-5399-11,"TUBO ENDOTRAQUEAL, SIN GLOBO. CALIBRE: 20 FR","DE ELASTÓMERO DE SILICÓN TRANSPARENTE, GRADUADOS, CON MARCA RADIOPACA, ESTÉRILES Y DESECHABLES."
060-168-5431-11,"TUBO ENDOTRAQUEAL, SIN GLOBO. CALIBRE: 24 FR","DE ELASTÓMERO DE SILICÓN TRANSPARENTE, GRADUADOS, CON MARCA RADIOPACA, ESTÉRILES Y DESECHABLES."
060-168-5456-11,"TUBO ENDOTRAQUEAL, SIN GLOBO. CALIBRE: 26 FR","DE ELASTÓMERO DE SILICÓN TRANSPARENTE, GRADUADOS, CON MARCA RADIOPACA, ESTÉRILES Y DESECHABLES."
060-168-2446-11,TUBO ENDOTRAQUEL DE PLÁSTICO. CALIBRE 24 FR,"DE ELASTÓMERO DE SILICÓN TRANSPARENTE, GRADUADOS, CON MARCA RADIOPACA, ESTÉRILES Y DESECHABLES."
060-168-1354-99,TUBO ENDOTRAQUEL DE PLÁSTICO . CALIBRE 18 FR,"DE GRADO MÉDICO, CON MARCA RADIOPACA, ESTÉRILES, DESECHABLES, CON GLOBO  TIPO: MURPHY. EMPAQUE INDIVIDUAL. DIÁMETRO INTERNO: 4.5 MM,"
060-168-2495-11,TUBO ENDOTRAQUEL DE PLÁSTICO. CALIBRE 26 FR,"DE GRADO MÉDICO,CON GLOBO , TIPO: MURPHY. DIÁMETRO INTERNO: 6.5 MM, "
060-168-2511-11,TUBO ENDOTRAQUEL DE PLÁSTICO. CALIBRE 28 FR,"DE GRADO MÉDICO,CON GLOBO . TIPO: MURPHY. EMPAQUE INDIVIDUAL. DIÁMETRO INTERNO: 7.0 MM"
060-168-2529-11,TUBO ENDOTRAQUEL DE PLÁSTICO  CALIBRE 30 FR,"DE GRADO MÉDICO,TIPO: MURPHY. EMPAQUE INDIVIDUAL. DIÁMETRO INTERNO: 7.5 MM"
060-168-2537-11,TUBO ENDOTRAQUEL DE PLÁSTICO CALIBRE 32 FR,
060-168-2552-11,TUBO ENDOTRAQUEL DE PLÁSTICO. CALIBRE 34 FR,"DE GRADO MÉDICO, TIPO: MURPHY. DIÁMETRO INTERNO: 8.5 MM"
060-168-2560-11,TUBO ENDOTRAQUEL DE PLÁSTICO. CALIBRE 36 FR. ,"DE GRADO MÉDICO, ES, CON GLOBO TIPO: MURPHY. EMPAQUE INDIVIDUAL. DIÁMETRO INTERNO: 9.0 MM"
060-168-2578-11,TUBO ENDOTRAQUEL DE PLÁSTICO  CALIBRE 38 FR,"DE GRADO MÉDICO, ES, CON GLOBO TIPO: MURPHY. EMPAQUE INDIVIDUAL. DIÁMETRO INTERNO: 9.5 MM"
060-908-0924-11,"TUBO PARA ASPIRADOR DE HULE LÁTEX, COLOR ÁMBAR. ","DIÁMETRO 6.3 MM, ESPESOR DE PARED 3.7 MM. ENVASE CON 10 M"
060-908-0114-11,"TUBO PARA CANALIZACIÓN, DE LÁTEX NATURAL, RADIOPACO, (1/2"")","DIÁMETRO 12.7 MM (1/2""). PIEZA"
060-908-0015-11,"TUBO PARA CANALIZACIÓN, DE LÁTEX NATURAL, RADIOPACO,  (5/16"")","DIÁMETRO 7.94 MM (5/16""). PIEZA"
060-168-1455-11,"TUBOS ENDOTRAQUEALES, SIN GLOBO, CALIBRE. 12 FR. 3.0 MM ",
060-167-8238-11,"TUBOS ENDOTRAQUEALES, SIN GLOBO CALIBRE. 10FR 2.5 MM ",
060-167-8220-11,"TUBOS ENDOTRAQUEALES, SIN GLOBO CALIBRE. 8FR 2MM ",
060-939-0059-01,VASELINA LIQUIDA FCO. 1 LTR,
060-999-0620-00,VENDA DE GOMA (SMARCH) LONGITUD: ANCHO:2.7 M 10 CM,"DE HULE NATURAL, GRADO MÉDICO."
060-953-0282-00,"VENDAS DE GOMA (SMARCH) LONGUITUD 2.7 M, ANCHO 8 CM","DE HULE NATURAL, GRADO MÉDICO."
060-953-2825-11,"VENDAS ELÁSTICAS DE TEJIDO PLANO, DE ALGODÓN CON FIBRAS SINTÉTICAS. LONGUITUD 5 M, ANCHO 30 CM. ",PQT. C/12 PZAS
060-953-2866-12,VENDAS ELÁSTICAS DE TEJIDO PLANO; DE ALGODÓN CON FIBRAS SINTÉTICAS.LONGITUD: 5 M ANCHO 10 CM.,ENVASE CON 12 PIEZAS.
060-953-2874-12,VENDAS ELÁSTICAS DE TEJIDO PLANO; DE ALGODÓN CON FIBRAS SINTÉTICAS.LONGITUD: 5 M ANCHO 15 CM.,ENVASE CON 12 PIEZAS.
060-953-2858-12,VENDAS ELÁSTICAS DE TEJIDO PLANO; DE ALGODÓN CON FIBRAS SINTÉTICAS.LONGITUD: 5 M ANCHO 5 CM.,ENVASE CON 12 PIEZAS.
060-953-0555-11,"VENDAS ENYESADAS DE GASA DE ALGODÓN,. LONGUITUD  2.75 M, ANCHO ANCHO 10 CM. ",ENVASE CON 12 PIEZAS
060-953-0571-11,"VENDAS ENYESADAS DE GASA DE ALGODÓN, LONGUITUD  2.75 M, ANCHO ANCHO 15 CM. ",ENVASE CON 12 PIEZAS
060-953-0456-11,"VENDAS ENYESADAS DE GASA DE ALGODÓN,  RECUBIERTAS DE UNA CAPA UNIFORME DE YESO GRADO MÉDICO. LONGUITUD  2.75 M, ANCHO ANCHO 5 CM.",ENVASE CON 12 PIEZAS
060-999-9219-00,CATETERES P/O2 CON BIGOTERA (PEDIATRICA) PUNTAS NASALES,
060-999-0155-00,ANTISEPTICO SOLUCION CON GLUCONATO DE CLORHEXIDINA AL 2% P/V EN ALCOHOL ISOPROPILICO AL 70% 10.5 ML,
060-999-9990-00,"PROLONGADOR DE CATETER POLIURETANO, EXTRA-FLEXIBLE, TRANSPARENTE Y DE MUY BAJO VOLUMEN MUERTO. VIA 3 Y 5",": DIAM. INT. 1.5 MM, DIAM. EXT. 2.50 MM, LONG. 10.6 CM, "
060-841-0551-11,"SUTURAS CATGUT CROMICO CON AGUJA. CALIBRE DE LA SUTURA. 2-0 . AGUJA. DE 1/2 CIRCULO, AHUSADA (35 - 37 MM)",LONGITUD DE LA HEBRA. 68 A 75 CM
060-999-0195-00,BALÒN DE BAKRY. (PARA CONTROL DE HEMORRAGIA OBSTÈTRICA),
060-842-0303-03,SUTURAS DE MONOFILAMENTO SINTETICO ABSORBIBLE DE COPOLIMERO DE GLICOLIDA Y EPSILON-CAPROLACTONA CALIBRE DE LA SUTURA. 1,"CARACTERISTICAS DE LA AGUJA. CON AGUJA AHUSADA, DE 1/2 CIRCULO (35-36 MM)."
060-842-0329-04,"SUTURAS DE MONOFILAMENTO SINTETICO ABSORBIBLE DE COPOLIMERO DE GLICOLIDA Y EPSILON-CAPROLACTONA, CALIBRE DE LA SUTURA. 2-0","CARACTERISTICAS DE LA AGUJA. CON AGUJA AHUSADA, DE 1/2 CIRCULO (35-36 MM)."
060-842-0527-04,"SUTURAS SINTETICAS NO ABSORBIBLES, MONOFILAMENTO DE POLIPROPILENO, CON AGUJA CALIBRE DE SUTURA. 1","LONGITUD DE LA HEBRA. 75 CM  CARACTERISTICAS DE LA AGUJA 1/2 CIRCULO, CORTANTE (35-37 MM)."
060-842-0535-02,"SUTURAS SINTETICAS NO ABSORBIBLES, MONOFILAMENTO DE POLIPROPILENO, CON AGUJA CALIBRE DE SUTURA. 2 ","LONGITUD DE LA HEBRA. 75 CM CARACTERISTICAS DE LA AGUJA 1/2 CIRCULO, CORTANTE (35-37 MM)."
060-841-0882-12,"SUTURAS SINTETICAS ABSORBIBLES POLIMERO DE ACIDO GLICOLICO, TRENZADA, CON AGUJA. CALIBRE DE LA SUTURA. 1 ","LONGITUD DE LA HEBRA. 67 - 70 CM CARACTERISTICAS DE LA AGUJA. 1/2 DE CIRCULO, AHUSADA (35-37 MM)."
060-841-0858-12,"SUTURAS SINTETICAS ABSORBIBLES, POLIMERO DE ACIDO GLICOLICO, TRENZADO, CON AGUJA. CALIBRE DE LA SUTURA 3-0 ",LONGITUD DE LA HEBRA. 67 - 70 CM CARACTERISTICAS DE LA AGUJA: 1/2 CIRCULO AHUSADA (25-26 MM)
060-040-5520-99,AGUJA RECTA CON PUNTA CORTANTE DE 70-90 MM, CAJA C/10 PZAS.
060-040-5521-99,AGUJA CURVA CON PUNTA CORTANTE DE 70-90 MM ,CAJA C/10 PZAS.
